"Load Group","SCH PKP Date","PKP City","DLV City","Dole Order #","Carrier Name","SCH DLV Date","SCH DLV Time","Last Carrier ETA Date and Time","Carrier Late Reason","Rem Miles","CarrierInstructions","Late Source","TMS Load #","Last Loc of Truck Date /Time ","Carrier DLV Arrv Date","TMS Load Status","Load On -Time "
"WEST REGIONAL IB","09/22/22","YERINGTON","KING CITY","9TTFQ","SHR TRANSPORT","09/22/22","11:00","","","0","","","13576821","09/21/22 19:10","","At P/U","Y"
"WEST REGIONAL IB","09/22/22","YERINGTON","KING CITY","9TTFO","SHR TRANSPORT","09/22/22","11:00","09/22/22 13:00","","253","","","13576820","09/22/22 10:06","","Transit","Y"
"EAST REGIONAL IB","09/22/22","ELMORE","SPRINGFIELD","9TTCP","DANCER LOGISTICS","09/22/22","16:00","09/22/22 14:00","","0","","","13576342","09/22/22 14:56","09/22/22 14:09","Left Dest","Y"
"EAST REGIONAL IB","09/22/22","DEERFIELD","SPRINGFIELD","9TTDK","DANCER LOGISTICS","09/22/22","17:00","09/22/22 14:00","","0","","","13576354","09/22/22 14:25","09/22/22 14:20","Left Dest","Y"
"EAST REGIONAL IB","09/22/22","DEERFIELD","SPRINGFIELD","9TTDM","Transloop Logistics","09/22/22","18:00","09/22/22 15:00","","0","","","13576355","09/22/22 14:44","09/22/22 14:44","At Dest","Y"
"EAST REGIONAL IB","09/21/22","ELMORE","BESSEMER CITY","9TTEZ","Lipsey Logistics Worldwide","09/22/22","14:00","09/22/22 14:00","","0","","","13576769","09/22/22 13:30","09/22/22 13:30","At Dest","Y"
"WEST REGIONAL IB","09/21/22","OXNARD","SOLEDAD","9TTGJ","JET TRUCKING","09/22/22","05:00","","","0","","","13576832","09/22/22 07:32","09/22/22 05:00","Delivered","Y"
"EAST REGIONAL IB","09/21/22","ELMORE","SPRINGFIELD","9TTCN","LIPSEY LOGISTICS WORLDWIDE","09/21/22","18:00","09/21/22 18:00","","0","","","13576341","09/21/22 19:40","09/21/22 17:48","Delivered","Y"
"WEST REGIONAL IB","09/21/22","OXNARD","SOLEDAD","9TTGK","Coreas Trucking","09/22/22","07:00","","","243","","","13576833","09/21/22 13:30","","Left P/U","Y"
"WEST REGIONAL IB","09/21/22","MARINA","YUMA","9TTHE","DESERT EXPRESS TRANSPORTATION","09/22/22","15:00","09/22/22 15:00","","0","RT 9TTHH","","13576844","09/22/22 09:26","09/22/22 09:26","At Dest","Y"
"WEST REGIONAL IB","09/21/22","MARINA","YUMA","9TTSS","BHANDAL BROS","09/22/22","13:00","09/22/22 08:00","","0","","","13578613","09/22/22 06:32","","Transit","Y"
"EAST REGIONAL IB","09/21/22","ELMORE","SPRINGFIELD","9TTCK","DANCER LOGISTICS","09/22/22","17:00","09/21/22 15:00","","0","","","13576340","09/21/22 14:55","09/21/22 14:52","Delivered","Y"
"WEST REGIONAL IB","09/21/22","YERINGTON","KING CITY","9TTFM","SHR TRANSPORT","09/21/22","11:00","09/21/22 11:00","","0","","","13576819","09/21/22 10:29","09/21/22 10:29","At Dest","Y"
"WEST REGIONAL IB","09/21/22","YERINGTON","KING CITY","9TTFK","SHR TRANSPORT","09/21/22","11:00","09/21/22 11:00","","0","","","13576818","09/21/22 10:54","09/21/22 10:54","At Dest","Y"
"EAST REGIONAL IB","09/21/22","DEERFIELD","SPRINGFIELD","9TTDI","DANCER LOGISTICS","09/21/22","17:00","09/21/22 15:00","","0","","","13576353","09/21/22 13:42","09/21/22 13:31","Delivered","Y"
"WEST REGIONAL IB","09/21/22","SALINAS","SOLEDAD","9TUBY","ROBLES TRUCKING","09/22/22","16:29","","","0","pu # 61078  at Easton under visionary ","","13579231","","","N/A","Y"
"WEST REGIONAL IB","09/21/22","NIPOMO","SOLEDAD","9TTVG","BHANDAL BROS","09/22/22","08:00","","","0","pu# 61077 check in under Visionary ","","13579046","09/22/22 06:53","09/22/22 00:39","Delivered","Y"
"WEST REGIONAL IB","09/20/22","OXNARD","SOLEDAD","9TTGE","DESERT EXPRESS TRANSPORTATION","09/21/22","05:00","","","0","","","13576829","09/21/22 10:07","09/21/22 08:20","Delivered","Y"
"WEST REGIONAL IB","09/20/22","MARINA","YUMA","9TTHB","A AND I TRUCKING","09/21/22","14:00","09/21/22 15:00","","0","RT 97XUZ","","13576843","09/21/22 17:00","09/21/22 16:00","Delivered","Y"
"WEST REGIONAL IB","09/20/22","OXNARD","SOLEDAD","9TTGF","BHANDAL BROS","09/21/22","07:00","","","0","","","13576830","09/20/22 22:14","09/20/22 20:25","Delivered","Y"
"WEST TO EAST IB","09/20/22","MARINA","BESSEMER CITY","9TRZS","KENNESAW TRANSPORTATION INC","09/22/22","16:00","09/22/22 12:00","Consignee Related","0","","EDI","13573785","09/22/22 09:51","09/22/22 10:24","Delivered","N"
"WEST TO EAST IB","09/20/22","MARINA","SPRINGFIELD","9TTMS","CENTRAL TRUCKING INC CTI","09/22/22","15:00","09/22/22 15:00","","0","","","13578006","09/22/22 06:20","09/22/22 04:59","Delivered","Y"
"EAST REGIONAL IB","09/20/22","QUEENSVILLE","SPRINGFIELD","9TTBT","Newmarket Equipment","09/21/22","12:00","09/21/22 12:00","","0","","","13576270","09/21/22 14:00","09/21/22 12:00","Delivered","Y"
